"","speaker","dialogue","norm.dialogue","length"
"401","VLADIMIR","Since he has put down his bags it is impossible we should have asked why he does not do so.","since he has put down his bags it is impossible we should have asked why he does not do so",20
"402","ESTRAGON","True!","true",1
"403","VLADIMIR","Tell him to think.","tell him to think",4
"404","ESTRAGON","Me! After what he did to me! Never!","me after what he did to me never",8
"405","VLADIMIR","I'll give it to him.","ill give it to him",5
"406","ESTRAGON","Tell him to go and fetch it.","tell him to go and fetch it",7
"407","ESTRAGON","What's he waiting for?","whats he waiting for",4
"408","VLADIMIR","You'll kill him.","youll kill him",3
"409","VLADIMIR","Come on, once more.","come on once more",4
"410","ESTRAGON","What does he take us for?","what does he take us for",6
"411","ESTRAGON","I hear something.","i hear something",3
"412","ESTRAGON","Perhaps it has stopped.","perhaps it has stopped",4
"413","ESTRAGON","No no.","no no",2
"414","VLADIMIR","You're going the wrong way.","youre going the wrong way",5
"415","VLADIMIR","On!","on",1
"416","ESTRAGON","It would have passed in any case.","it would have passed in any case",7
"417","VLADIMIR","Yes, but not so rapidly.","yes but not so rapidly",5
"418","ESTRAGON","What do we do now?","what do we do now",5
"419","VLADIMIR","I don't know.","i dont know",3
"420","ESTRAGON","Let's go.","lets go",2
"421","VLADIMIR","We can't.","we cant",2
"422","ESTRAGON","Why not?","why not",2
"423","VLADIMIR","We're waiting for Godot.","were waiting for godot",4
"424","ESTRAGON","Ah!","ah",1
"425","VLADIMIR","How they've changed!","how theyve changed",3
"426","ESTRAGON","Who?","who",1
"427","VLADIMIR","Those two.","those two",2
"428","ESTRAGON","That's the idea, let's make a little conversation.","thats the idea lets make a little conversation",8
"429","VLADIMIR","Haven't they?","havent they",2
"430","ESTRAGON","What?","what",1
"431","VLADIMIR","Changed.","changed",1
"432","ESTRAGON","Very likely. They all change. Only we can't.","very likely they all change only we cant",8
"433","VLADIMIR","Likely! It's certain. Didn't you see them?","likely its certain didnt you see them",7
"434","ESTRAGON","I suppose I did. but I don't know them.","i suppose i did but i dont know them",9
"435","VLADIMIR","Yes you do know them.","yes you do know them",5
"436","ESTRAGON","No I don't know them.","no i dont know them",5
"437","VLADIMIR","We know them, I tell you. You forget everything. Unless they're not the same","we know them i tell you you forget everything unless theyre not the same",14
"438","ESTRAGON","Why didn't they recognize us then?","why didnt they recognize us then",6
"439","VLADIMIR","That means nothing. I too pretended not to recognize them. And then nobody ever recognizes us.","that means nothing i too pretended not to recognize them and then nobody ever recognizes us",16
"440","ESTRAGON","Forget it. What we need Ow! Ow!","forget it what we need ow ow",7
"441","VLADIMIR","Unless they're not the same","unless theyre not the same",5
"442","ESTRAGON","Didi! It's the other foot!","didi its the other foot",5
"443","VLADIMIR","Unless they're not the same","unless theyre not the same",5
"444","VLADIMIR","Approach, my child.","approach my child",3
"445","ESTRAGON","What do you want?","what do you want",4
"446","VLADIMIR","Approach!","approach",1
"447","ESTRAGON","Approach when you're told, can't you?","approach when youre told cant you",6
"448","VLADIMIR","What is it?","what is it",3
"449","ESTRAGON","Will you approach! What kept you so late?","will you approach what kept you so late",8
"450","VLADIMIR","You have a message from Mr. Godot?","you have a message from mr godot",7
"451","ESTRAGON","What kept you so late?","what kept you so late",5
"452","VLADIMIR","Let him alone.","let him alone",3
"453","ESTRAGON","You let me alone. Do you know what time it is?","you let me alone do you know what time it is",11
"454","VLADIMIR","I know what it is, he was afraid of the others.","i know what it is he was afraid of the others",11
"455","ESTRAGON","How long have you been here?","how long have you been here",6
"456","ESTRAGON","I'm unhappy.","im unhappy",2
"457","VLADIMIR","Not really! Since when?","not really since when",4
"458","ESTRAGON","I'd forgotten.","id forgotten",2
"459","VLADIMIR","Extraordinary the tricks that memory plays! Well?","extraordinary the tricks that memory plays well",7
"460","ESTRAGON","Pale for weariness.","pale for weariness",3
"461","VLADIMIR","Eh?","eh",1
"462","ESTRAGON","Of climbing heaven and gazing on the likes of us.","of climbing heaven and gazing on the likes of us",10
"463","VLADIMIR","Your boots, what are you doing with your boots?","your boots what are you doing with your boots",9
"464","ESTRAGON","I'm leaving them there. Another will come, just as as as me, but with smaller feet, and they'll make him happy.","im leaving them there another will come just as as as me but with smaller feet and theyll make him happy",21
"465","VLADIMIR","but you can't go barefoot!","but you cant go barefoot",5
"466","ESTRAGON","Christ did.","christ did",2
"467","VLADIMIR","Christ! What has Christ got to do with it. You're not going to compare yourself to Christ!","christ what has christ got to do with it youre not going to compare yourself to christ",17
"468","ESTRAGON","All my life I've compared myself to him.","all my life ive compared myself to him",8
"469","VLADIMIR","but where he lived it was warm, it was dry!","but where he lived it was warm it was dry",10
"470","ESTRAGON","Yes. And they crucified quick.","yes and they crucified quick",5
"471","VLADIMIR","We've nothing more to do here.","weve nothing more to do here",6
"472","ESTRAGON","Nor anywhere else.","nor anywhere else",3
"473","VLADIMIR","Ah Gogo, don't go on like that. Tomorrow everything will be better.","ah gogo dont go on like that tomorrow everything will be better",12
"474","ESTRAGON","How do you make that out?","how do you make that out",6
"475","VLADIMIR","Did you not hear what the child said?","did you not hear what the child said",8
"476","ESTRAGON","No.","no",1
"477","VLADIMIR","He said that Godot was sure to come tomorrow. What do you say to that?","he said that godot was sure to come tomorrow what do you say to that",15
"478","ESTRAGON","Then all we have to do is to wait on here.","then all we have to do is to wait on here",11
"479","VLADIMIR","Are you mad? We must take cover. Come on.","are you mad we must take cover come on",9
"480","ESTRAGON","Pity we haven't got a bit of rope.","pity we havent got a bit of rope",8
"481","VLADIMIR","Come on. It's cold.","come on its cold",4
"482","ESTRAGON","Remind me to bring a bit of rope tomorrow.","remind me to bring a bit of rope tomorrow",9
"483","VLADIMIR","Yes. Come on.","yes come on",3
"484","ESTRAGON","How long have we been together all the time now?","how long have we been together all the time now",10
"485","VLADIMIR","I don't know. Fifty years maybe.","i dont know fifty years maybe",6
"486","ESTRAGON","Do you remember the day I threw myself into the Rhone?","do you remember the day i threw myself into the rhone",11
"487","VLADIMIR","We were grape harvesting.","we were grape harvesting",4
"488","ESTRAGON","You fished me out.","you fished me out",4
"489","VLADIMIR","That's all dead and buried.","thats all dead and buried",5
"490","ESTRAGON","My clothes dried in the sun.","my clothes dried in the sun",6
"491","VLADIMIR","There's no good harking back on that. Come on.","theres no good harking back on that come on",9
"492","ESTRAGON","Wait!","wait",1
"493","VLADIMIR","I'm cold!","im cold",2
"494","ESTRAGON","Wait! I sometimes wonder if we wouldn't have been better off alone, each one for himself. We weren't made for the same road.","wait i sometimes wonder if we wouldnt have been better off alone each one for himself we werent made for the same road",23
"495","VLADIMIR","It's not certain.","its not certain",3
"496","ESTRAGON","No, nothing is certain.","no nothing is certain",4
"497","VLADIMIR","We can still part, if you think it would be better.","we can still part if you think it would be better",11
"498","ESTRAGON","It's not worthwhile now.","its not worthwhile now",4
"499","VLADIMIR","No, it's not worthwhile now.","no its not worthwhile now",5
"500","ESTRAGON","Well, shall we go?","well shall we go",4
"501","VLADIMIR","Yes, let's go. Top Act 2 back to Samuel Beckett Resources Waiting for Godot","yes lets go top act 2 back to samuel beckett resources waiting for godot",14
"502","VLADIMIR","You again! Come here till I embrace you.","you again come here till i embrace you",8
"503","ESTRAGON","Don't touch me!","dont touch me",3
"504","VLADIMIR","Do you want me to go away? Gogo! Did they beat you? Gogo! Where did you spend the night?","do you want me to go away gogo did they beat you gogo where did you spend the night",19
"505","ESTRAGON","Don't touch me! Don't question me! Don't speak to me! Stay with me!","dont touch me dont question me dont speak to me stay with me",13
"506","VLADIMIR","Did I ever leave you?","did i ever leave you",5
"507","ESTRAGON","You let me go.","you let me go",4
"508","VLADIMIR","Look at me. Will you look at me!","look at me will you look at me",8
"509","ESTRAGON","What a day!","what a day",3
"510","VLADIMIR","Who beat you? Tell me.","who beat you tell me",5
"511","ESTRAGON","Another day done with.","another day done with",4
"512","VLADIMIR","Not yet.","not yet",2
"513","ESTRAGON","For me it's over and done with, no matter what happens. I heard you singing.","for me its over and done with no matter what happens i heard you singing",15
"514","VLADIMIR","That's right, I remember.","thats right i remember",4
"515","ESTRAGON","That finished me. I said to myself, He's all alone, he thinks I'm gone for ever, and he sings.","that finished me i said to myself hes all alone he thinks im gone for ever and he sings",19
"516","VLADIMIR","One is not master of one's moods. All day I've felt in great form. I didn't get up in the night, not once!","one is not master of ones moods all day ive felt in great form i didnt get up in the night not once",23
"517","ESTRAGON","You see, you piss better when I'm not there.","you see you piss better when im not there",9
"518","VLADIMIR","I missed you and at the same time I was happy. Isn't that a strange thing?","i missed you and at the same time i was happy isnt that a strange thing",16
"519","ESTRAGON","Happy?","happy",1
"520","VLADIMIR","Perhaps it's not quite the right word.","perhaps its not quite the right word",7
"521","ESTRAGON","And now?","and now",2
"522","VLADIMIR","Now? There you are again There we are again. . . There I am again.","now there you are again there we are again   there i am again",13
"523","ESTRAGON","You see, you feel worse when I'm with you. I feel better alone too.","you see you feel worse when im with you i feel better alone too",14
"524","VLADIMIR","Then why do you always come crawling back?","then why do you always come crawling back",8
"525","ESTRAGON","I don't know.","i dont know",3
"526","VLADIMIR","No, but I do. It's because you don't know how to defend yourself. I wouldn't have let them beat you.","no but i do its because you dont know how to defend yourself i wouldnt have let them beat you",20
"527","ESTRAGON","You couldn't have stopped them.","you couldnt have stopped them",5
"528","VLADIMIR","Why not?","why not",2
"529","ESTRAGON","There was ten of them.","there was ten of them",5
"530","VLADIMIR","No, I mean before they beat you. I would have stopped you from doing whatever it was you were doing.","no i mean before they beat you i would have stopped you from doing whatever it was you were doing",20
"531","ESTRAGON","I wasn't doing anything.","i wasnt doing anything",4
"532","VLADIMIR","Then why did they beat you?","then why did they beat you",6
"533","ESTRAGON","I don't know.","i dont know",3
"534","VLADIMIR","Ah no, Gogo, the truth is there are things that escape you that don't escape me, you must feel it yourself.","ah no gogo the truth is there are things that escape you that dont escape me you must feel it yourself",21
"535","ESTRAGON","I tell you I wasn't doing anything.","i tell you i wasnt doing anything",7
"536","VLADIMIR","Perhaps you weren't. but it's the way of doing it that counts, the way of doing it, if you want to go on living.","perhaps you werent but its the way of doing it that counts the way of doing it if you want to go on living",24
"537","ESTRAGON","I wasn't doing anything.","i wasnt doing anything",4
"538","VLADIMIR","You must be happy too, deep down, if you only knew it.","you must be happy too deep down if you only knew it",12
"539","ESTRAGON","Happy about what?","happy about what",3
"540","VLADIMIR","To be back with me again.","to be back with me again",6
"541","ESTRAGON","Would you say so?","would you say so",4
"542","VLADIMIR","Say you are, even if it's not true.","say you are even if its not true",8
"543","ESTRAGON","What am I to say?","what am i to say",5
"544","VLADIMIR","Say, I am happy.","say i am happy",4
"545","ESTRAGON","I am happy.","i am happy",3
"546","VLADIMIR","So am I.","so am i",3
"547","ESTRAGON","So am I.","so am i",3
"548","VLADIMIR","We are happy.","we are happy",3
"549","ESTRAGON","We are happy. What do we do now, now that we are happy?","we are happy what do we do now now that we are happy",13
"550","VLADIMIR","Wait for Godot. Things have changed here since yesterday.","wait for godot things have changed here since yesterday",9
"551","ESTRAGON","And if he doesn't come?","and if he doesnt come",5
"552","VLADIMIR","We'll see when the time comes. I was saying that things have changed here since yesterday.","well see when the time comes i was saying that things have changed here since yesterday",16
"553","ESTRAGON","Everything oozes.","everything oozes",2
"554","VLADIMIR","Look at the tree.","look at the tree",4
"555","ESTRAGON","It's never the same pus from one second to the next.","its never the same pus from one second to the next",11
"556","VLADIMIR","The tree, look at the tree.","the tree look at the tree",6
"557","ESTRAGON","Was is not there yesterday?","was is not there yesterday",5
"558","VLADIMIR","Yes of course it was there. Do you not remember? We nearly hanged ourselves from it. but you wouldn't. Do you not remember?","yes of course it was there do you not remember we nearly hanged ourselves from it but you wouldnt do you not remember",23
"559","ESTRAGON","You dreamt it.","you dreamt it",3
"560","VLADIMIR","Is it possible you've forgotten already?","is it possible youve forgotten already",6
"561","ESTRAGON","That's the way I am. Either I forget immediately or I never forget.","thats the way i am either i forget immediately or i never forget",13
"562","VLADIMIR","And Pozzo and Lucky, have you forgotten them too?","and pozzo and lucky have you forgotten them too",9
"563","ESTRAGON","Pozzo and Lucky?","pozzo and lucky",3
"564","VLADIMIR","He's forgotten everything!","hes forgotten everything",3
"565","ESTRAGON","I remember a lunatic who kicked the shins off me. Then he played the fool.","i remember a lunatic who kicked the shins off me then he played the fool",15
"566","VLADIMIR","That was Lucky.","that was lucky",3
"567","ESTRAGON","I remember that. but when was it?","i remember that but when was it",7
"568","VLADIMIR","And his keeper, do you not remember him?","and his keeper do you not remember him",8
"569","ESTRAGON","He gave me a bone.","he gave me a bone",5
"570","VLADIMIR","That was Pozzo.","that was pozzo",3
"571","ESTRAGON","And all that was yesterday, you say?","and all that was yesterday you say",7
"572","VLADIMIR","Yes of course it was yesterday.","yes of course it was yesterday",6
"573","ESTRAGON","And here where we are now?","and here where we are now",6
"574","VLADIMIR","Where else do you think? Do you not recognize the place?","where else do you think do you not recognize the place",11
"575","ESTRAGON","Recognize! What is there to recognize? All my lousy life I've crawled about in the mud! And you talk to me about scenery! Look at this muckheap! I've never stirred from it!","recognize what is there to recognize all my lousy life ive crawled about in the mud and you talk to me about scenery look at this muckheap ive never stirred from it",32
"576","VLADIMIR","Calm yourself, calm yourself.","calm yourself calm yourself",4
"577","ESTRAGON","You and your landscapes! Tell me about the worms!","you and your landscapes tell me about the worms",9
"578","VLADIMIR","All the same, you can't tell me that this bears any resemblance to to the Macon country for example. You can't deny there's a big difference.","all the same you cant tell me that this bears any resemblance to to the macon country for example you cant deny theres a big difference",26
"579","ESTRAGON","The Macon country! Who's talking to you about the Macon country?","the macon country whos talking to you about the macon country",11
"580","VLADIMIR","but you were there yourself, in the Macon country.","but you were there yourself in the macon country",9
"581","ESTRAGON","No I was never in the Macon country! I've puked my puke of a life away here, I tell you! Here! In the Cackon country!","no i was never in the macon country ive puked my puke of a life away here i tell you here in the cackon country",25
"582","VLADIMIR","but we were there together, I could swear to it! Picking grapes for a man called can't think of the name of the man, at a place called can't think of the name of the place, do you not remember?","but we were there together i could swear to it picking grapes for a man called cant think of the name of the man at a place called cant think of the name of the place do you not remember",40
"583","ESTRAGON","It's possible. I didn't notice anything.","its possible i didnt notice anything",6
"584","VLADIMIR","but down there everything is red!","but down there everything is red",6
"585","ESTRAGON","I didn't notice anything, I tell you!","i didnt notice anything i tell you",7
"586","VLADIMIR","You're a hard man to get on with, Gogo.","youre a hard man to get on with gogo",9
"587","ESTRAGON","It'd be better if we parted.","itd be better if we parted",6
"588","VLADIMIR","You always say that and you always come crawling back.","you always say that and you always come crawling back",10
"589","ESTRAGON","The best thing would be to kill me, like the other.","the best thing would be to kill me like the other",11
"590","VLADIMIR","What other? What other?","what other what other",4
"591","ESTRAGON","Like billions of others.","like billions of others",4
"592","VLADIMIR","To every man his little cross. Till he dies. And is forgotten.","to every man his little cross till he dies and is forgotten",12
"593","ESTRAGON","In the meantime let us try and converse calmly, since we are incapable of keeping silent.","in the meantime let us try and converse calmly since we are incapable of keeping silent",16
"594","VLADIMIR","You're right, we're inexhaustible.","youre right were inexhaustible",4
"595","ESTRAGON","It's so we won't think.","its so we wont think",5
"596","VLADIMIR","We have that excuse.","we have that excuse",4
"597","ESTRAGON","It's so we won't hear.","its so we wont hear",5
"598","VLADIMIR","We have our reasons.","we have our reasons",4
"599","ESTRAGON","All the dead voices.","all the dead voices",4
"600","VLADIMIR","They make a noise like wings.","they make a noise like wings",6
"601","ESTRAGON","Like leaves.","like leaves",2
"602","VLADIMIR","Like sand.","like sand",2
"603","ESTRAGON","Like leaves.","like leaves",2
"604","VLADIMIR","They all speak at once.","they all speak at once",5
"605","ESTRAGON","Each one to itself.","each one to itself",4
"606","VLADIMIR","Rather they whisper.","rather they whisper",3
"607","ESTRAGON","They rustle.","they rustle",2
"608","VLADIMIR","They murmur.","they murmur",2
"609","ESTRAGON","They rustle.","they rustle",2
"610","VLADIMIR","What do they say?","what do they say",4
"611","ESTRAGON","They talk about their lives.","they talk about their lives",5
"612","VLADIMIR","To have lived is not enough for them.","to have lived is not enough for them",8
"613","ESTRAGON","They have to talk about it.","they have to talk about it",6
"614","VLADIMIR","To be dead is not enough for them.","to be dead is not enough for them",8
"615","ESTRAGON","It is not sufficient.","it is not sufficient",4
"616","VLADIMIR","They make a noise like feathers.","they make a noise like feathers",6
"617","ESTRAGON","Like leaves.","like leaves",2
"618","VLADIMIR","Likes ashes.","likes ashes",2
"619","ESTRAGON","Like leaves.","like leaves",2
"620","VLADIMIR","Say something!","say something",2
"621","ESTRAGON","I'm trying.","im trying",2
"622","VLADIMIR","Say anything at all!","say anything at all",4
"623","ESTRAGON","What do we do now?","what do we do now",5
"624","VLADIMIR","Wait for Godot.","wait for godot",3
"625","ESTRAGON","Ah!","ah",1
"626","VLADIMIR","This is awful!","this is awful",3
"627","ESTRAGON","Sing something.","sing something",2
"628","VLADIMIR","No no! We could start all over again perhaps.","no no we could start all over again perhaps",9
"629","ESTRAGON","That should be easy.","that should be easy",4
"630","VLADIMIR","It's the start that's difficult.","its the start thats difficult",5
"631","ESTRAGON","You can start from anything.","you can start from anything",5
"632","VLADIMIR","Yes, but you have to decide.","yes but you have to decide",6
"633","ESTRAGON","True.","true",1
"634","VLADIMIR","Help me!","help me",2
"635","ESTRAGON","I'm trying.","im trying",2
"636","VLADIMIR","When you seek you hear.","when you seek you hear",5
"637","ESTRAGON","You do.","you do",2
"638","VLADIMIR","That prevents you from finding.","that prevents you from finding",5
"639","ESTRAGON","It does.","it does",2
"640","VLADIMIR","That prevents you from thinking.","that prevents you from thinking",5
"641","ESTRAGON","You think all the same.","you think all the same",5
"642","VLADIMIR","No no, it's impossible.","no no its impossible",4
"643","ESTRAGON","That's the idea, let's contradict each another.","thats the idea lets contradict each another",7
"644","VLADIMIR","Impossible.","impossible",1
"645","ESTRAGON","You think so?","you think so",3
"646","VLADIMIR","We're in no danger of ever thinking any more.","were in no danger of ever thinking any more",9
"647","ESTRAGON","Then what are we complaining about?","then what are we complaining about",6
"648","VLADIMIR","Thinking is not the worst.","thinking is not the worst",5
"649","ESTRAGON","Perhaps not. but at least there's that.","perhaps not but at least theres that",7
"650","VLADIMIR","That what?","that what",2
"651","ESTRAGON","That's the idea, let's ask each other questions.","thats the idea lets ask each other questions",8
"652","VLADIMIR","What do you mean, at least there's that?","what do you mean at least theres that",8
"653","ESTRAGON","That much less misery.","that much less misery",4
"654","VLADIMIR","True.","true",1
"655","ESTRAGON","Well? If we gave thanks for our mercies?","well if we gave thanks for our mercies",8
"656","VLADIMIR","What is terrible is to thought.","what is terrible is to thought",6
"657","ESTRAGON","but did that ever happen to us?","but did that ever happen to us",7
"658","VLADIMIR","Where are all these corpses from?","where are all these corpses from",6
"659","ESTRAGON","These skeletons.","these skeletons",2
"660","VLADIMIR","Tell me that.","tell me that",3
"661","ESTRAGON","True.","true",1
"662","VLADIMIR","We must have thought a little.","we must have thought a little",6
"663","ESTRAGON","At the very beginning.","at the very beginning",4
"664","VLADIMIR","A charnelhouse! A charnelhouse!","a charnelhouse a charnelhouse",4
"665","ESTRAGON","You don't have to look.","you dont have to look",5
"666","VLADIMIR","You can't help looking.","you cant help looking",4
"667","ESTRAGON","True.","true",1
"668","VLADIMIR","Try as one may.","try as one may",4
"669","ESTRAGON","I beg your pardon?","i beg your pardon",4
"670","VLADIMIR","Try as one may.","try as one may",4
"671","ESTRAGON","We should turn resolutely towards Nature.","we should turn resolutely towards nature",6
"672","VLADIMIR","We've tried that.","weve tried that",3
"673","ESTRAGON","True.","true",1
"674","VLADIMIR","Oh it's not the worst, I know.","oh its not the worst i know",7
"675","ESTRAGON","What?","what",1
"676","VLADIMIR","To have thought.","to have thought",3
"677","ESTRAGON","Obviously.","obviously",1
"678","VLADIMIR","but we could have done without it.","but we could have done without it",7
"679","ESTRAGON","Que voulezvous?","que voulezvous",2
"680","VLADIMIR","I beg your pardon?","i beg your pardon",4
"681","ESTRAGON","Que voulezvouz.","que voulezvouz",2
"682","VLADIMIR","Ah! que voulezvous. Exactly.","ah que voulezvous exactly",4
"683","ESTRAGON","That wasn't such a bad little canter.","that wasnt such a bad little canter",7
"684","VLADIMIR","Yes, but now we'll have to find something else.","yes but now well have to find something else",9
"685","ESTRAGON","Let me see.","let me see",3
"686","VLADIMIR","Let me see. Ah!","let me see ah",4
"687","ESTRAGON","Well?","well",1
"688","VLADIMIR","What was I saying, we could go on from there.","what was i saying we could go on from there",10
"689","ESTRAGON","What were you saying when?","what were you saying when",5
"690","VLADIMIR","At the very beginning.","at the very beginning",4
"691","ESTRAGON","The very beginning of WHAT?","the very beginning of what",5
"692","VLADIMIR","This evening I was saying I was saying","this evening i was saying i was saying",8
"693","ESTRAGON","I'm not a historian.","im not a historian",4
"694","VLADIMIR","Wait we embraced we were happy happy what do we do now that we're happy go on waiting waiting let me think it's coming go on waiting now that we're happy let me see ah! The tree!","wait we embraced we were happy happy what do we do now that were happy go on waiting waiting let me think its coming go on waiting now that were happy let me see ah the tree",37
"695","ESTRAGON","The tree?","the tree",2
"696","VLADIMIR","Do you not remember?","do you not remember",4
"697","ESTRAGON","I'm tired.","im tired",2
"698","VLADIMIR","Look at it.","look at it",3
"699","ESTRAGON","I see nothing.","i see nothing",3
"700","VLADIMIR","but yesterday evening it was all black and bare. And now it's covered with leaves.","but yesterday evening it was all black and bare and now its covered with leaves",15
"701","ESTRAGON","Leaves?","leaves",1
"702","VLADIMIR","In a single night.","in a single night",4
"703","ESTRAGON","It must be the Spring.","it must be the spring",5
"704","VLADIMIR","but in a single night!","but in a single night",5
"705","ESTRAGON","I tell you we weren't here yesterday. Another of your nightmares.","i tell you we werent here yesterday another of your nightmares",11
"706","VLADIMIR","And where were we yesterday evening according to you?","and where were we yesterday evening according to you",9
"707","ESTRAGON","How would I know? In another compartment. There's no lack of void.","how would i know in another compartment theres no lack of void",12
"708","VLADIMIR","Good. We weren't here yesterday evening. Now what did we do yesterday evening?","good we werent here yesterday evening now what did we do yesterday evening",13
"709","ESTRAGON","Do?","do",1
"710","VLADIMIR","Try and remember.","try and remember",3
"711","ESTRAGON","Do I suppose we blathered.","do i suppose we blathered",5
"712","VLADIMIR","About what?","about what",2
"713","ESTRAGON","Oh . . . this and that I suppose, nothing in particular. Yes, now I remember, yesterday evening we spent blathering about nothing in particular. That's been going on now for half a century.","oh    this and that i suppose nothing in particular yes now i remember yesterday evening we spent blathering about nothing in particular thats been going on now for half a century",31
"714","VLADIMIR","You don't remember any fact, any circumstance?","you dont remember any fact any circumstance",7
"715","ESTRAGON","Don't torment me, Didi.","dont torment me didi",4
"716","VLADIMIR","The sun. The moon. Do you not remember?","the sun the moon do you not remember",8
"717","ESTRAGON","They must have been there, as usual.","they must have been there as usual",7
"718","VLADIMIR","You didn't notice anything out of the ordinary?","you didnt notice anything out of the ordinary",8
"719","ESTRAGON","Alas!","alas",1
"720","VLADIMIR","And Pozzo? And Lucky?","and pozzo and lucky",4
"721","ESTRAGON","Pozzo?","pozzo",1
"722","VLADIMIR","The bones.","the bones",2
"723","ESTRAGON","They were like fishbones.","they were like fishbones",4
"724","VLADIMIR","It was Pozzo gave them to you.","it was pozzo gave them to you",7
"725","ESTRAGON","I don't know.","i dont know",3
"726","VLADIMIR","And the kick.","and the kick",3
"727","ESTRAGON","That's right, someone gave me a kick.","thats right someone gave me a kick",7
"728","VLADIMIR","It was Lucky gave it to you.","it was lucky gave it to you",7
"729","ESTRAGON","And all that was yesterday?","and all that was yesterday",5
"730","VLADIMIR","Show me your leg.","show me your leg",4
"731","ESTRAGON","Which?","which",1
"732","VLADIMIR","both. Pull up your trousers. Pull up your trousers.","both pull up your trousers pull up your trousers",9
"733","ESTRAGON","I can't.","i cant",2
"734","VLADIMIR","The other. The other, pig! There's the wound! beginning to fester!","the other the other pig theres the wound beginning to fester",11
"735","ESTRAGON","And what about it?","and what about it",4
"736","VLADIMIR","Where are your boots?","where are your boots",4
"737","ESTRAGON","I must have thrown them away.","i must have thrown them away",6
"738","VLADIMIR","When?","when",1
"739","ESTRAGON","I don't know.","i dont know",3
"740","VLADIMIR","Why?","why",1
"741","ESTRAGON","I don't know why I don't know!","i dont know why i dont know",7
"742","VLADIMIR","No, I mean why did you throw them away?","no i mean why did you throw them away",9
"743","ESTRAGON","because they were hurting me!","because they were hurting me",5
"744","VLADIMIR","There they are! At the very spot where you left them yesterday!","there they are at the very spot where you left them yesterday",12
"745","ESTRAGON","They're not mine.","theyre not mine",3
"746","VLADIMIR","Not yours!","not yours",2
"747","ESTRAGON","Mine were black. These are brown.","mine were black these are brown",6
"748","VLADIMIR","You're sure yours were black?","youre sure yours were black",5
"749","ESTRAGON","Well they were a kind of gray.","well they were a kind of gray",7
"750","VLADIMIR","And these are brown. Show me.","and these are brown show me",6
"751","ESTRAGON","Well they're a kind of green.","well theyre a kind of green",6
"752","VLADIMIR","Show me. Well of all the","show me well of all the",6
"753","ESTRAGON","You see, all that's a lot of bloody","you see all thats a lot of bloody",8
"754","VLADIMIR","Ah! I see what it is. Yes, I see what's happened.","ah i see what it is yes i see whats happened",11
"755","ESTRAGON","All that's a lot of bloody","all thats a lot of bloody",6
"756","VLADIMIR","It's elementary. Someone came and took yours and left you his.","its elementary someone came and took yours and left you his",11
"757","ESTRAGON","Why?","why",1
"758","VLADIMIR","His were too tight for him, so he took yours.","his were too tight for him so he took yours",10
"759","ESTRAGON","but mine were too tight.","but mine were too tight",5
"760","VLADIMIR","For you. Not for him.","for you not for him",5
"761","ESTRAGON","I'm tired! Let's go.","im tired lets go",4
"762","VLADIMIR","We can't.","we cant",2
"763","ESTRAGON","Why not?","why not",2
"764","VLADIMIR","We're waiting for Godot.","were waiting for godot",4
"765","ESTRAGON","Ah! What'll we do, what'll we do!","ah whatll we do whatll we do",7
"766","VLADIMIR","There's nothing we can do.","theres nothing we can do",5
"767","ESTRAGON","but I can't go on like this!","but i cant go on like this",7
"768","VLADIMIR","Would you like a radish?","would you like a radish",5
"769","ESTRAGON","Is that all there is?","is that all there is",5
"770","VLADIMIR","There are radishes and turnips.","there are radishes and turnips",5
"771","ESTRAGON","Are there no carrots?","are there no carrots",4
"772","VLADIMIR","No. Anyway you overdo it with your carrots.","no anyway you overdo it with your carrots",8
"773","ESTRAGON","Then give me a radish. It's black!","then give me a radish its black",7
"774","VLADIMIR","It's a radish.","its a radish",3
"775","ESTRAGON","I only like the pink ones, you know that!","i only like the pink ones you know that",9
"776","VLADIMIR","Then you don't want it?","then you dont want it",5
"777","ESTRAGON","I only like the pink ones!","i only like the pink ones",6
"778","VLADIMIR","Then give it back to me.","then give it back to me",6
"779","ESTRAGON","I'll go and get a carrot.","ill go and get a carrot",6
"780","VLADIMIR","This is becoming really insignificant.","this is becoming really insignificant",5
"781","ESTRAGON","Not enough.","not enough",2
"782","VLADIMIR","What about trying them.","what about trying them",4
"783","ESTRAGON","I've tried everything.","ive tried everything",3
"784","VLADIMIR","No, I mean the boots.","no i mean the boots",5
"785","ESTRAGON","Would that be a good thing?","would that be a good thing",6
"786","VLADIMIR","It'd pass the time. I assure you, it'd be an occupation.","itd pass the time i assure you itd be an occupation",11
"787","ESTRAGON","A relaxation.","a relaxation",2
"788","VLADIMIR","A recreation.","a recreation",2
"789","ESTRAGON","A relaxation.","a relaxation",2
"790","VLADIMIR","Try.","try",1
"791","ESTRAGON","You'll help me?","youll help me",3
"792","VLADIMIR","I will of course.","i will of course",4
"793","ESTRAGON","We don't manage too badly, eh Didi, between the two of us?","we dont manage too badly eh didi between the two of us",12
"794","VLADIMIR","Yes yes. Come on, we'll try the left first.","yes yes come on well try the left first",9
"795","ESTRAGON","We always find something, eh Didi, to give us the impression we exist?","we always find something eh didi to give us the impression we exist",13
